Neighborhood,Incident_Number
Haight Ashbury,189
Excelsior,178
Marina,286
,627
Financial District/South Beach,1105
Potrero Hill,173
Lone Mountain/USF,155
West of Twin Peaks,217
Inner Sunset,127
Outer Mission,178
Castro/Upper Market,355
McLaren Park,13
Sunset/Parkside,358
Noe Valley,117
Portola,119
North Beach,368
Glen Park,81
Twin Peaks,97
South of Market,963
Bayview Hunters Point,651
Presidio Heights,78
Tenderloin,1255
Pacific Heights,201
Presidio,30
Japantown,139
Russian Hill,331
Visitacion Valley,126
Seacliff,9
Golden Gate Park,157
Outer Richmond,258
Western Addition,352
Nob Hill,357
Hayes Valley,256
Oceanview/Merced/Ingleside,121
Chinatown,254
Lincoln Park,18
Bernal Heights,183
Mission Bay,189
Treasure Island,47
Lakeshore,168
Inner Richmond,144
Mission,1243
